method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
second,KITTIDataset,"54,34,25,48,39,7,37,52,12,11,8,44",True,False,80,76.3071994854591,43.20894096706772,54.46286198331601
second,KITTIDataset,"61,34,42,0,41,19,39,44,17,52,56,14",True,False,80,76.25593129253822,41.1460753558752,52.49619522892797
second,KITTIDataset,"27,33,13,17,51,18,44,29,2,45,7,36",True,False,80,78.15480294687785,42.53586583710461,57.932581559262296
second,KITTIDataset,"31,43,19,5,52,24,41,14,10,3,2,36,47,9",True,False,80,78.47165296474004,46.22018701273543,61.11784148940882
second,KITTIDataset,"56,49,16,25,19,30,18,17,60,4,34,28,53,63",True,False,80,76.30736741456357,46.09584681274478,55.43357045750228
second,KITTIDataset,"47,24,63,51,39,9,53,42,14,13,38,40,60,29",True,False,80,74.90244113817062,33.8390067001467,53.95633101510917
second,KITTIDataset,"11,10,3,33,32,47,12,60,16,7,0,4,18,46",True,False,80,78.61198323594927,42.13144237986381,58.84277005685183
second,KITTIDataset,"6,22,23,50,62,25,37,36,12,59,32,55,49,34",True,False,80,75.45975737660918,35.1779186980144,49.368673324514724
second,KITTIDataset,"18,44,52,9,49,37,4,56,63,39,21,31,10,47",True,False,80,75.7194970686733,43.01736511853267,53.79584374989007
second,KITTIDataset,"7,16,33,53,15,38,9,22,41,43,23,0,13,14",True,False,80,78.43950154257264,46.95138725133415,60.69624806886807
second,KITTIDataset,"5,2,38,3,9,43,19,37,31,16,52,12,46,54",True,False,80,76.39810413427293,44.103599184670536,53.76724523043701
second,KITTIDataset,"45,39,63,27,0,21,6,36,11,23,14,28,47,52",True,False,80,78.38162774141823,45.73675919457823,60.16404073935411
second,KITTIDataset,"45,8,51,31,43,29,3,39,9,13,56,27,61,20",True,False,80,77.3278317561192,44.697728476418135,54.25021108637298
second,KITTIDataset,"49,51,55,12,2,40,25,61,22,4,58,18,43,20,33,37",True,False,80,75.99852285203926,40.63686146721803,54.228701131379864
