method,dataset,dataset_version,pretrained,train,epochs,recall/roi_0.3,recall/rcnn_0.3,recall/roi_0.5,recall/rcnn_0.5,recall/roi_0.7,recall/rcnn_0.7,Car_aos/easy_R40,Car_aos/moderate_R40,Car_aos/hard_R40,Car_3d/easy_R40,Car_3d/moderate_R40,Car_3d/hard_R40,Pedestrian_aos/easy_R40,Pedestrian_aos/moderate_R40,Pedestrian_aos/hard_R40,Pedestrian_3d/easy_R40,Pedestrian_3d/moderate_R40,Pedestrian_3d/hard_R40,Cyclist_aos/easy_R40,Cyclist_aos/moderate_R40,Cyclist_aos/hard_R40,Cyclist_3d/easy_R40,Cyclist_3d/moderate_R40,Cyclist_3d/hard_R40
pv_rcnn_8369,KITTIDataset,"22,24",True,False,80,0.9683,0.9685,0.9282,0.9342,0.7156,0.7595,98.046,94.2081,92.0269,92.0171,84.2824,82.4757,67.3006,61.8158,57.8366,62.2954,54.3083,49.7594,96.728,80.3598,77.2802,88.7497,69.2391,64.9709
pv_rcnn_8369,KITTIDataset,"16,0",True,False,80,0.9685,0.9686,0.9288,0.9345,0.7176,0.7601,98.2458,94.2789,93.5961,92.047,84.304,82.4815,67.7761,62.2487,58.2194,62.7786,55.1028,50.57,96.9919,80.5887,77.4897,89.0396,69.7686,66.5104
pv_rcnn_8369,KITTIDataset,"27,18",True,False,80,0.9686,0.9687,0.928,0.9343,0.716,0.7593,98.2602,94.2352,92.0454,92.072,82.9686,82.4312,66.9422,61.7,58.2893,62.5398,54.5785,49.9,96.7932,80.3961,77.329,88.9217,70.5887,66.3914
pv_rcnn_8369,KITTIDataset,"37,47",True,False,80,0.9659,0.9663,0.922,0.927,0.7075,0.7519,96.1437,94.1203,91.9196,91.9635,82.7278,82.0104,65.1364,60.2646,56.689,60.3286,52.9908,47.9451,93.9576,79.0472,74.6724,88.051,68.1448,63.8424
pv_rcnn_8369,KITTIDataset,"33,10",True,False,80,0.9682,0.9684,0.9277,0.9337,0.7146,0.7578,98.2579,94.2497,92.0551,92.0757,82.9765,82.4195,67.2963,61.9009,57.821,62.7843,54.8768,50.2439,96.3294,80.4089,77.4387,88.3954,70.8675,66.4467
pv_rcnn_8369,KITTIDataset,"20,9",True,False,80,0.9684,0.9686,0.9286,0.9344,0.7174,0.7598,98.2204,94.2541,92.0547,92.081,82.9908,82.4578,67.8166,62.2832,58.156,62.8403,54.6013,50.1351,96.9862,80.6005,77.5086,88.9599,69.7963,66.4367
pv_rcnn_8369,KITTIDataset,"10,46",True,False,80,0.9678,0.9683,0.9239,0.9296,0.7115,0.7549,98.0816,94.1428,91.9402,91.9006,82.8593,82.254,67.1291,61.7689,57.6598,61.114,52.9597,48.0908,93.957,77.3819,74.5915,86.1952,66.9019,63.4443
pv_rcnn_8369,KITTIDataset,"17,15",True,False,80,0.9684,0.9687,0.9284,0.934,0.717,0.7589,98.244,94.2565,92.0506,91.9977,82.9565,82.4388,67.7658,62.3484,58.2584,62.7738,54.6888,50.0813,96.9423,80.5753,77.4607,88.9109,69.6083,66.3212
pv_rcnn_8369,KITTIDataset,"61,16",True,False,80,0.9685,0.9686,0.9288,0.9343,0.7176,0.7594,98.242,94.2924,93.6216,92.0764,84.4075,82.4959,67.3961,61.7266,57.8129,62.5405,55.0037,50.3905,96.9448,80.604,77.5153,89.4685,71.1372,66.7746
pv_rcnn_8369,KITTIDataset,"54,30",True,False,80,0.963,0.9632,0.9199,0.9258,0.7,0.745,97.6288,93.5674,91.7683,91.6046,82.4458,80.1668,66.5159,60.3502,56.3156,61.5017,53.1337,48.8142,93.4806,76.953,74.1605,84.9654,64.3246,61.2006
