method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
pv_rcnn_8369,KITTIDataset,"5,63,51,57,24,45,38,30,25,42,39,19",True,False,80,79.85385553700436,45.032678015854366,58.33882398912296
pv_rcnn_8369,KITTIDataset,"33,59,16,62,27,58,28,46,35,41,42,50",True,False,80,79.92856822328231,42.22509512581809,58.1155346008704
pv_rcnn_8369,KITTIDataset,"15,21,62,42,53,12,31,7,44,37,43,6",True,False,80,79.19139605443128,40.83118085887005,55.01622148937479
pv_rcnn_8369,KITTIDataset,"2,55,12,19,31,3,22,39,62,14,54,21",True,False,80,78.59123258875846,49.48009794328869,57.54801980621188
pv_rcnn_8369,KITTIDataset,"37,26,4,35,13,28,56,22,60,2,32,1",True,False,80,82.38222616973833,52.19126808586859,63.33450304636765
pv_rcnn_8369,KITTIDataset,"23,12,17,61,60,18,3,30,4,46,45,31",True,False,80,81.87806267641878,44.93506121371536,63.20208079611902
pv_rcnn_8369,KITTIDataset,"15,12,0,7,25,16,46,29,60,58,54,38",True,False,80,81.91923162293314,49.54726896808249,59.84615374976037
pv_rcnn_8369,KITTIDataset,"0,34,5,33,45,23,54,42,44,62,36,57",True,False,80,79.50683943296421,41.60159834684439,51.328482561864206
pv_rcnn_8369,KITTIDataset,"12,4,0,57,7,58,24,40,63,45,9,55",True,False,80,79.79907221139062,50.50646986470034,58.23867670126528
pv_rcnn_8369,KITTIDataset,"30,25,39,47,10,61,0,34,8,3,53,21",True,False,80,81.72463661043231,51.003798441699175,65.16648701147233
pv_rcnn_8369,KITTIDataset,"62,29,2,49,45,33,23,22,55,11,30,21,26,58",True,False,80,79.68447812172452,47.28307966702705,58.521383704340735
pv_rcnn_8369,KITTIDataset,"53,20,61,49,7,19,37,8,59,9,25,56,47,57",True,False,80,78.07097918560234,48.825959987439525,53.981994032876955
pv_rcnn_8369,KITTIDataset,"12,1,17,22,8,36,18,51,31,6,48,62,37,45",True,False,80,81.91464141384324,46.26406045181844,64.27973552905735
