method,dataset,dataset_version,pretrained,train,epochs,recall/roi_0.3,recall/rcnn_0.3,recall/roi_0.5,recall/rcnn_0.5,recall/roi_0.7,recall/rcnn_0.7,Car_aos/easy_R40,Car_aos/moderate_R40,Car_aos/hard_R40,Car_3d/easy_R40,Car_3d/moderate_R40,Car_3d/hard_R40,Pedestrian_aos/easy_R40,Pedestrian_aos/moderate_R40,Pedestrian_aos/hard_R40,Pedestrian_3d/easy_R40,Pedestrian_3d/moderate_R40,Pedestrian_3d/hard_R40,Cyclist_aos/easy_R40,Cyclist_aos/moderate_R40,Cyclist_aos/hard_R40,Cyclist_3d/easy_R40,Cyclist_3d/moderate_R40,Cyclist_3d/hard_R40
pointpillar_7728,KITTIDataset,"6,8,26,10,30,32,45,25,33,41,37,31",True,False,80,0.0,0.9301,0.0,0.8641,0.0,0.6018,95.3313,90.9504,88.1332,84.4289,74.7003,69.9699,43.2809,40.2729,37.5084,48.7298,43.7088,39.7425,79.0693,63.8937,60.7636,71.386,54.2264,50.4468
pointpillar_7728,KITTIDataset,"62,14,3,10,9,63,47,46,24,21,32,30",True,False,80,0.0,0.9349,0.0,0.8687,0.0,0.6081,95.4456,91.1584,88.357,86.1764,75.2497,71.5763,44.9882,42.0002,38.8457,49.8877,44.757,40.6247,81.1166,67.652,63.7543,73.2556,57.0912,53.5679
pointpillar_7728,KITTIDataset,"34,33,5,14,31,11,3,45,44,1,49,25",True,False,80,0.0,0.9322,0.0,0.8658,0.0,0.599,95.3298,90.9058,87.9864,84.8657,74.6565,69.8794,43.9339,41.0505,38.3929,47.9387,43.1529,39.5068,80.121,65.7816,62.0227,74.1456,56.5132,52.8069
pointpillar_7728,KITTIDataset,"62,23,34,1,12,18,31,6,37,53,16,22",True,False,80,0.0,0.9311,0.0,0.8729,0.0,0.6146,95.3376,91.2852,88.5419,85.0777,75.4173,72.119,46.26,43.387,40.0195,56.2275,50.2256,45.5637,85.9661,68.1766,64.6003,81.8059,60.9182,57.2872
pointpillar_7728,KITTIDataset,"41,19,45,20,29,54,24,1,36,9,28,0",True,False,80,0.0,0.9289,0.0,0.8658,0.0,0.6072,95.3978,90.9325,88.2412,86.2238,74.9701,71.5666,44.4753,41.6096,38.9212,52.8739,47.3195,42.9292,82.3254,63.1679,60.0838,78.783,55.7228,52.7781
pointpillar_7728,KITTIDataset,"0,44,51,13,14,10,49,58,31,9,56,2",True,False,80,0.0,0.9231,0.0,0.858,0.0,0.5954,95.3702,90.3938,87.7272,84.7878,73.9868,69.8126,44.8232,41.1467,38.2878,49.5906,44.6683,40.8653,84.8199,66.28,62.4728,78.0648,57.6434,53.6659
pointpillar_7728,KITTIDataset,"48,1,60,35,31,37,29,0,44,27,28,53",True,False,80,0.0,0.9263,0.0,0.8614,0.0,0.5953,95.2776,90.1003,87.6873,84.9111,72.981,69.6017,44.5989,42.014,39.223,48.4151,43.8065,39.8231,81.5723,64.5731,60.6847,76.0031,57.3373,53.5258
pointpillar_7728,KITTIDataset,"36,6,18,35,43,24,28,21,20,29,10,16",True,False,80,0.0,0.9358,0.0,0.8758,0.0,0.6201,95.4152,91.442,89.9031,87.2329,76.0154,72.8199,47.5835,43.9433,41.1761,54.5745,48.5258,43.846,84.0098,69.4368,65.4858,76.8899,59.7667,55.8584
pointpillar_7728,KITTIDataset,"60,40,56,10,55,61,35,2,51,43,8,39",True,False,80,0.0,0.9006,0.0,0.827,0.0,0.5599,92.3164,86.8101,83.9922,79.9451,68.7266,65.1748,44.1634,39.9331,37.0761,50.0425,43.7113,39.2459,75.6075,54.2783,51.4863,71.0183,47.8065,45.1242
pointpillar_7728,KITTIDataset,"20,13,59,35,31,21,45,48,53,52,19,49",True,False,80,0.0,0.9112,0.0,0.836,0.0,0.5578,93.4221,85.4903,83.8037,79.8571,67.8669,63.5118,41.1635,38.7461,35.3989,44.1028,40.27,36.3508,78.1124,62.1658,58.4565,70.6779,53.5619,49.9115
pointpillar_7728,KITTIDataset,"19,55,42,49,45,30,52,6,37,3,33,60,13,2,39,61",True,False,80,0.0,0.9166,0.0,0.8482,0.0,0.5727,95.0775,88.7267,86.8663,83.435,71.5379,66.7099,43.9566,40.8959,37.5227,50.1575,45.2308,41.1054,78.3388,60.0289,57.2031,71.2553,53.4715,50.0864
pointpillar_7728,KITTIDataset,"56,43,27,45,63,44,54,47,16,33,6,41,2,39,32,18",True,False,80,0.0,0.8995,0.0,0.8175,0.0,0.5389,92.4517,86.6633,83.3819,78.0205,65.5782,61.8371,41.0845,37.9579,34.9153,38.9116,34.5551,31.0854,63.1744,49.4861,46.6694,55.8008,41.0558,38.7484
pointpillar_7728,KITTIDataset,"34,24,56,38,25,61,51,8,46,35,59,52,15,3,12,57",True,False,80,0.0,0.9021,0.0,0.831,0.0,0.5613,93.8378,86.5194,83.7556,79.7723,68.2461,63.631,42.5541,39.4203,36.2072,47.3704,42.2462,38.0294,76.9203,56.3381,52.6862,72.4136,49.6903,46.0566
pointpillar_7728,KITTIDataset,"39,7,59,58,40,8,62,54,35,21,56,29,9,0,48,22",True,False,80,0.0,0.9172,0.0,0.8528,0.0,0.5862,95.0649,88.744,87.2041,83.688,72.2635,68.8253,43.9231,40.7529,37.5346,50.7755,45.6686,41.5474,80.1378,61.141,57.3547,74.7584,53.9445,50.0983
pointpillar_7728,KITTIDataset,"2,11,24,63,6,36,42,44,45,0,47,13,33,26,9,52",True,False,80,0.0,0.9228,0.0,0.8502,0.0,0.5839,95.0641,88.7925,86.9815,83.9081,72.3489,68.5976,43.8945,40.8892,37.9266,45.1169,40.6424,36.9788,75.9651,61.6775,58.8063,69.647,55.1632,51.6058
