method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
pointpillar_7728,KITTIDataset,"47,34,49,20,36,51,31,5,0,37,8,53",True,False,80,71.81202587266341,42.660712825895395,55.94875070505269
pointpillar_7728,KITTIDataset,"5,30,8,52,43,16,50,46,57,48,61,49",True,False,80,66.48651421069444,35.83823237111118,47.69111228991109
pointpillar_7728,KITTIDataset,"23,41,48,24,56,27,50,49,29,59,61,1",True,False,80,67.82409723959242,35.82511496980821,48.32847874567676
pointpillar_7728,KITTIDataset,"20,7,37,1,62,60,26,22,45,43,11,63",True,False,80,75.93004964642955,48.43231764818564,59.28428208745653
pointpillar_7728,KITTIDataset,"2,9,36,18,50,58,55,16,26,8,30,38",True,False,80,72.90998000301359,47.11701051010618,58.86788361859199
pointpillar_7728,KITTIDataset,"63,40,49,36,26,29,6,34,20,41,16,2",True,False,80,75.31866139548733,43.57830694107195,60.1594845966541
pointpillar_7728,KITTIDataset,"0,11,9,5,57,43,13,39,31,12,19,1",True,False,80,76.23450502935867,50.064123081425514,58.0742959037875
pointpillar_7728,KITTIDataset,"28,29,13,56,48,8,24,44,63,11,22,54",True,False,80,72.95389613595931,47.11022276356263,53.918870596429024
pointpillar_7728,KITTIDataset,"26,42,1,34,56,2,50,41,31,15,5,22",True,False,80,74.3395108944724,44.650825649647985,56.73495216641832
pointpillar_7728,KITTIDataset,"3,30,49,47,12,45,55,6,43,26,28,4,48,2",True,False,80,65.71171862626434,34.87609097507057,46.53099897285522
pointpillar_7728,KITTIDataset,"34,16,50,5,47,10,8,0,28,17,40,49,57,54",True,False,80,71.56021125361647,40.79450852445648,50.74730057474945
pointpillar_7728,KITTIDataset,"7,17,49,2,16,37,48,44,43,13,60,1,18,23",True,False,80,72.63022382397544,41.175603045163214,55.09605308467555
pointpillar_7728,KITTIDataset,"41,20,7,56,42,51,43,33,49,15,22,4,59,16",True,False,80,69.76192439201574,40.388319374423396,48.889560174070084
pointpillar_7728,KITTIDataset,"23,57,36,13,33,62,19,55,15,52,3,34,38,0",True,False,80,72.2718957608871,45.77143797590527,56.97802655741238
pointpillar_7728,KITTIDataset,"13,63,33,24,10,42,48,1,30,25,40,32,22,57",True,False,80,75.15044258579731,45.353901391364225,56.98699652584751
pointpillar_7728,KITTIDataset,"49,11,31,22,57,37,56,4,1,41,12,18,63,53",True,False,80,71.93680975547116,47.59253080192855,51.261700925034816
pointpillar_7728,KITTIDataset,"48,27,19,3,36,12,2,22,63,1,39,20,18,54",True,False,80,74.63848098768497,48.919564765256915,57.41986840544151
