method,dataset,dataset_version,pretrained,train,epochs,car_AP@0.5,truck_AP@0.5,bus_AP@0.5,trailer_AP@0.5,construction_vehicle_AP@0.5,pedestrian_AP@0.5,motorcycle_AP@0.5,bicycle_AP@0.5,traffic_cone_AP@0.5,barrier_AP@0.5
voxelnext_nuscenes_kernel1,NuScenesDataset,"20,12,17,25",True,False,20,70.54,35.14,42.42,6.56,1.59,79.89,52.02,44.03,64.39,56.95
voxelnext_nuscenes_kernel1,NuScenesDataset,"19,26,30,3",True,False,20,72.03,35.82,42.99,7.27,2.1,81.41,54.24,47.08,65.75,58.36
voxelnext_nuscenes_kernel1,NuScenesDataset,"12,14,13,7",True,False,20,62.16,30.55,39.67,4.44,0.93,70.43,43.85,34.81,54.75,51.63
voxelnext_nuscenes_kernel1,NuScenesDataset,"15,5,1,31",True,False,20,70.24,35.13,42.87,6.33,1.91,79.18,51.01,41.13,63.01,53.46
voxelnext_nuscenes_kernel1,NuScenesDataset,"21,29,28,24",True,False,20,72.96,36.25,43.8,7.09,2.35,82.13,55.56,47.49,66.42,58.89
voxelnext_nuscenes_kernel1,NuScenesDataset,"6,19,2,16",True,False,20,70.03,34.92,41.68,5.47,2.03,80.05,50.88,43.74,64.13,57.41
voxelnext_nuscenes_kernel1,NuScenesDataset,"6,22,21,31",True,False,20,71.74,36.31,43.57,5.71,2.26,81.47,54.62,45.32,64.94,58.93
voxelnext_nuscenes_kernel1,NuScenesDataset,"19,8,15,6,5,22",True,False,20,65.72,33.74,41.4,5.51,1.66,74.73,45.78,33.07,56.66,50.61
voxelnext_nuscenes_kernel1,NuScenesDataset,"9,10,7,4,28,31",True,False,20,66.3,34.49,41.34,6.58,1.26,75.52,46.5,40.22,58.35,53.37
voxelnext_nuscenes_kernel1,NuScenesDataset,"7,18,4,26,20,30",True,False,20,70.49,35.85,42.81,7.01,2.08,79.94,52.29,44.68,63.71,57.31
voxelnext_nuscenes_kernel1,NuScenesDataset,"13,27,19,31,14,26",True,False,20,67.72,33.02,42.1,5.27,1.58,76.18,49.16,41.82,60.75,54.46
voxelnext_nuscenes_kernel1,NuScenesDataset,"24,26,20,7,21,25",True,False,20,71.57,36.32,43.15,7.02,2.34,80.56,53.79,46.01,64.7,57.98
voxelnext_nuscenes_kernel1,NuScenesDataset,"0,23,8,13,31,21",True,False,20,70.04,34.95,42.9,6.08,1.81,79.73,51.74,44.49,63.46,55.97
voxelnext_nuscenes_kernel1,NuScenesDataset,"0,1,25,10,17,14",True,False,20,68.96,34.19,42.06,6.39,1.67,78.95,50.04,42.81,62.07,55.13
voxelnext_nuscenes_kernel1,NuScenesDataset,"15,30,28,24,0,19",True,False,20,70.86,35.26,42.32,6.56,2.04,79.09,51.07,45.5,64.14,52.51
voxelnext_nuscenes_kernel1,NuScenesDataset,"24,30,6,28,4,12",True,False,20,69.52,35.29,43.72,6.42,1.57,79.91,51.76,42.45,62.53,57.84
voxelnext_nuscenes_kernel1,NuScenesDataset,"3,26,27,18,11,29",True,False,20,70.61,35.22,42.64,7.66,1.79,80.14,51.83,45.27,63.91,57.25
voxelnext_nuscenes_kernel1,NuScenesDataset,"2,16,3,6,30,12,15,31",True,False,20,64.59,32.71,39.28,5.65,1.41,73.12,42.87,37.13,59.4,49.75
voxelnext_nuscenes_kernel1,NuScenesDataset,"24,18,11,14,22,9,23,4",True,False,20,66.93,33.69,42.38,6.18,1.19,77.04,46.52,40.22,59.18,54.8
voxelnext_nuscenes_kernel1,NuScenesDataset,"7,21,27,11,20,15,25,30",True,False,20,68.17,34.67,41.23,6.77,1.72,76.65,47.02,42.12,60.92,51.26
voxelnext_nuscenes_kernel1,NuScenesDataset,"10,26,18,1,29,22,27,2",True,False,20,70.32,34.77,43.18,7.81,1.94,80.28,51.08,45.17,63.95,57.09
voxelnext_nuscenes_kernel1,NuScenesDataset,"31,21,3,17,0,27,24,11",True,False,20,70.26,35.35,42.1,7.21,1.69,79.81,51.92,44.52,63.96,56.46
voxelnext_nuscenes_kernel1,NuScenesDataset,"23,12,11,21,6,28,4,10",True,False,20,61.04,30.04,38.54,3.75,0.86,69.83,38.94,32.23,53.4,49.38
voxelnext_nuscenes_kernel1,NuScenesDataset,"9,12,15,18,24,17,21,10",True,False,20,62.76,31.08,35.39,5.34,1.05,69.44,38.89,35.67,55.1,44.64
voxelnext_nuscenes_kernel1,NuScenesDataset,"9,14,8,22,3,25,2,0",True,False,20,64.47,31.37,40.68,5.51,0.58,75.44,45.5,37.73,57.95,52.61
voxelnext_nuscenes_kernel1,NuScenesDataset,"16,6,10,31,27,15,4,1",True,False,20,65.28,32.34,39.04,6.2,1.61,73.58,43.67,38.02,59.18,48.97
voxelnext_nuscenes_kernel1,NuScenesDataset,"23,30,21,15,31,17,18,10",True,False,20,67.93,33.4,38.44,8.01,1.7,75.25,46.56,42.52,61.56,48.62
voxelnext_nuscenes_kernel1,NuScenesDataset,"25,21,5,13,11,4,14,12,8,2",True,False,20,52.27,26.09,36.72,3.59,0.3,60.22,30.89,20.58,44.35,43.8
voxelnext_nuscenes_kernel1,NuScenesDataset,"2,15,16,8,22,17,4,19,9,28",True,False,20,59.6,27.79,32.05,4.77,0.28,65.25,37.94,34.39,55.25,41.39
voxelnext_nuscenes_kernel1,NuScenesDataset,"3,25,7,22,15,14,20,17,12,23",True,False,20,63.21,32.15,37.91,4.84,0.83,71.01,40.88,35.81,56.15,46.17
voxelnext_nuscenes_kernel1,NuScenesDataset,"14,31,6,16,17,26,22,21,3,25",True,False,20,66.88,33.2,39.31,4.76,1.32,75.81,47.38,39.5,61.06,53.74
voxelnext_nuscenes_kernel1,NuScenesDataset,"29,5,12,6,26,15,31,7,28,23",True,False,20,61.73,33.08,39.4,4.47,1.18,70.53,42.52,29.26,49.98,49.46
voxelnext_nuscenes_kernel1,NuScenesDataset,"9,30,3,6,19,12,8,15,1,10",True,False,20,56.28,25.54,35.21,3.85,0.24,64.68,33.16,26.41,48.38,40.62
voxelnext_nuscenes_kernel1,NuScenesDataset,"28,10,31,18,11,8,23,2,17,12",True,False,20,59.11,28.0,35.96,4.49,0.68,66.16,35.64,32.38,51.91,44.44
