method,dataset,dataset_version,pretrained,train,epochs,car_AP@0.5,truck_AP@0.5,bus_AP@0.5,trailer_AP@0.5,construction_vehicle_AP@0.5,pedestrian_AP@0.5,motorcycle_AP@0.5,bicycle_AP@0.5,traffic_cone_AP@0.5,barrier_AP@0.5
VoxelNeXt,NuScenesDataset,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",True,False,10,61.34,29.03,37.89,5.34,0.59,72.96,36.27,30.21,54.38,49.29
VoxelNeXt,NuScenesDataset,"2,4,6,8,9,10,12,14,16,18,19,20,22,24,26,28,30",True,False,10,51.82,22.27,30.62,2.71,0.02,59.73,25.96,21.64,43.79,39.51
VoxelNeXt,NuScenesDataset,"2,4,5,6,8,9,10,12,14,15,16,18,19,20,22,23,24,26,28,29,30",True,False,10,39.14,15.04,20.34,1.18,0.0,41.41,12.38,7.25,28.91,26.6
VoxelNeXt,NuScenesDataset,"2,4,6,8,9,10,12,14,16,18,20,22,24,26,28,30",True,False,10,53.1,22.94,32.94,2.8,0.06,63.12,27.7,22.44,45.46,42.01
VoxelNeXt,NuScenesDataset,"2,4,6,8,9,10,12,14,16,18,19,20,22,24,25,26,28,30",True,False,10,51.83,22.24,30.61,2.72,0.02,59.72,25.99,21.64,43.79,39.42
