method,dataset,dataset_version,pretrained,train,epochs,recall/roi_0.3,recall/rcnn_0.3,recall/roi_0.5,recall/rcnn_0.5,recall/roi_0.7,recall/rcnn_0.7,Car_aos/easy_R40,Car_aos/moderate_R40,Car_aos/hard_R40,Car_3d/easy_R40,Car_3d/moderate_R40,Car_3d/hard_R40,Pedestrian_aos/easy_R40,Pedestrian_aos/moderate_R40,Pedestrian_aos/hard_R40,Pedestrian_3d/easy_R40,Pedestrian_3d/moderate_R40,Pedestrian_3d/hard_R40,Cyclist_aos/easy_R40,Cyclist_aos/moderate_R40,Cyclist_aos/hard_R40,Cyclist_3d/easy_R40,Cyclist_3d/moderate_R40,Cyclist_3d/hard_R40
PartA2_7940,KITTIDataset,"40,38,15,46,12,26,10,63,24,31,37,17",True,False,80,0.9662,0.9663,0.9164,0.9229,0.6868,0.7234,95.6776,91.3879,90.9193,91.6239,80.3496,77.9736,68.9425,63.9729,60.3939,54.4439,48.6095,44.3122,90.4001,74.5657,71.7051,84.1708,65.0512,62.0351
PartA2_7940,KITTIDataset,"8,4,49,19,44,51,25,22,20,47,63,23",True,False,80,0.9608,0.9612,0.9088,0.9137,0.6749,0.7132,95.6174,90.983,88.7572,89.2699,79.7966,77.4417,67.5279,62.6517,59.6945,54.8826,49.2908,45.3636,89.4163,74.3258,71.741,81.0562,63.2856,59.5449
PartA2_7940,KITTIDataset,"26,35,57,24,39,33,60,0,58,2,6,42",True,False,80,0.9606,0.9607,0.9141,0.9195,0.6889,0.7218,95.6137,91.3569,90.8655,89.5124,81.5074,79.5308,72.4178,67.4262,63.209,61.9446,55.4633,50.6035,89.5843,70.4789,67.7011,85.4507,62.908,59.6701
PartA2_7940,KITTIDataset,"28,17,24,29,42,45,6,18,54,57,21,1",True,False,80,0.9582,0.958,0.909,0.9143,0.6762,0.7111,95.5069,91.0015,90.2703,89.0501,79.7214,77.4492,71.2592,65.2657,60.8378,60.8362,54.2187,48.9087,87.8722,66.8773,64.8445,86.343,58.4478,55.484
PartA2_7940,KITTIDataset,"63,37,29,18,55,53,45,54,15,19,4,31",True,False,80,0.917,0.9167,0.8568,0.8642,0.6119,0.6511,90.7263,82.2496,82.1196,80.6858,70.4484,68.925,64.7804,58.5315,54.1845,56.8519,49.0709,44.4256,80.5424,55.5445,54.6926,77.3718,49.4374,48.1009
PartA2_7940,KITTIDataset,"33,15,42,29,5,41,47,62,32,11,58,36",True,False,80,0.9637,0.9638,0.9133,0.9186,0.6819,0.7153,95.6069,91.2698,90.571,89.4156,79.883,77.3813,65.6291,61.2919,58.7057,50.9352,46.5752,42.6805,87.2119,72.5148,68.4562,81.6716,62.3404,58.0297
PartA2_7940,KITTIDataset,"5,19,30,63,46,41,27,47,37,24,6,18,17,45,55,50",True,False,80,0.9483,0.9481,0.8814,0.8878,0.6395,0.6819,95.0965,88.2611,87.2724,87.9108,76.4285,73.559,54.1294,50.3305,47.6326,41.4577,37.4883,33.7797,73.927,57.0815,55.0103,68.3132,48.4626,45.3974
PartA2_7940,KITTIDataset,"61,20,56,43,5,47,38,44,36,55,1,32,9,3,42,8",True,False,80,0.9333,0.9335,0.8673,0.8723,0.6288,0.6677,93.9618,86.3923,84.3216,84.6847,73.3185,70.8216,59.9185,55.1835,52.6564,43.0307,38.6752,34.9489,67.6574,46.8756,44.715,62.794,40.4132,37.9517
PartA2_7940,KITTIDataset,"51,22,36,54,59,41,45,43,13,63,6,29,60,38,26,53",True,False,80,0.94,0.9401,0.8814,0.8878,0.6285,0.6686,94.6825,86.7392,85.2401,87.1085,74.0137,71.7581,61.503,56.0415,52.3632,50.7425,44.2335,39.7563,77.4759,56.9201,54.3474,74.5258,50.2475,46.6949
PartA2_7940,KITTIDataset,"39,62,30,17,10,63,5,7,29,1,42,35,13,0,44,47",True,False,80,0.9654,0.9657,0.9178,0.9232,0.6844,0.72,95.5782,91.3904,90.8272,89.77,80.0702,77.6687,68.0118,64.2698,60.7696,55.4555,50.8404,46.6732,88.5508,73.3778,69.563,83.6928,62.5737,59.3347
PartA2_7940,KITTIDataset,"32,61,9,60,6,43,56,53,20,59,18,19,58,51,23,0",True,False,80,0.9514,0.9515,0.9002,0.9065,0.6686,0.7057,95.4606,89.8698,88.2114,88.9717,78.876,76.6899,67.894,62.1081,57.9791,57.2667,50.0001,45.6318,87.1095,64.0666,61.5066,82.9167,57.6948,55.089
